korname,engname,update,aff,bs,ms,phd,advisor,advisor2,handle,debut,mathgen,mrauthid,scholar,website,thesis,hide
이은정,Eunjeong Lee,202203,충북대학교 수학과,2005,2009,2018,서동엽,,264940,2018,265979,1128774,uKHWKYEAAAAJ,https://sites.google.com/view/eunjeonglee/,Topology and geometry of flag Bott-Samelson varieties and Bott towers,
이은주,Eunju Lee,202408,Louisiana State University 경제학과,2010,,,,,,,,,,https://sites.google.com/view/eunju-lee,,
이응현,Eunghyun Lee,201508,Nazarbayev University 수학과 (카자흐스탄),,2002,,,,,2011,156295,849051,Bk-6Hx8AAAAJ,https://sites.google.com/a/nu.edu.kz/eunghyun-lee-s-homepage/,Bethe Ansatz Solvable Interacting Particle Systems on Z,
이일빈,Ilbin Lee,201707,"University of Alberta, School of Business (캐나다)",2000,,,,,,2015,211845,1064242,pK-t_RUAAAAJ,https://sites.google.com/site/ilbinleewebpage/,Analysis and Simplex-type Algorithms for Countably Infinite Linear Programming Models of Markov Decision Processes,
이장택,Jang Taek Lee,,단국대학교 응용통계학과,,1983,1988,김병천,,41754,1988,,236904,,https://cms.dankook.ac.kr/web/dkustat/-4?p_p_id=DeptInfo_WAR_empInfoportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-2&p_p_col_count=1&_DeptInfo_WAR_empInfoportlet_empId=PYNSHdYxOeBpFgw5DOl8ug%3D%3D&_DeptInfo_WAR_empInfoportlet_action=view_message,Estimation of variance components for mixed models with cell means,
이재람,Jaeram Lee,202403,한국외국어대학교 경영학부,2006,,,,,,2015,,,pcqUvjYAAAAJ,https://biz.hufs.ac.kr/biz/7853/subview.do?enc=Zm5jdDF8QEB8JTJGcHJvZmwlMkZiaXolMkY0MTglMkY0NDIxJTJGYXJ0Y2xWaWV3LmRvJTNGcGFnZSUzRDElMjZzcmNoQ29sdW1uJTNEJTI2c3JjaFdyZCUzRCUyNg%3D%3D,,
이재우,Jaewoo Lee,,CUNY BMCC 수학과 (미국),1988,,,,,,2006,99826,902328,,https://www.bmcc.cuny.edu/faculty/jaewoo-lee/,,
이재헌,Jaeheon Lee,2004,중앙대학교 응용통계학과,,,1994,김병천,,41771,1994,,350490,,https://sites.google.com/view/spm-lab/professor,A simple and improved approximation method for the characteristics of sequential tests,
이정근,Jeong-Keun Lee,,선문대학교 산업안전경영공학과,,1984,1992,김문언,권길헌,41750,1992,,,,https://ie.sunmoon.ac.kr/ie/ad/pp/profsrintrcnPage.do?mi=40374,Linear functionals on space of polynomials and their application to semiclassical orthogonal polynomials,
이정욱,Junguk Lee,202303,창원대학교 수학과,2005,,,,,,2016,,1099787,,https://sites.google.com/site/leejunguk0323/home,,
이정훈,Jung-Hoon Lee,,전북대학교 수학과,1994,1998,2005,진교택,,41884,2005,119212,696063,,https://sites.google.com/view/junghoon123,Heegaard splittings of knot and link complements,
이준경,Joonkyung Lee,202303,연세대학교 수학과,2005,2008,,,,,2018,,984393,PJQ5eUcAAAAJ,https://sites.google.com/site/joonkyungleemaths/,,
이준연,Jun-Yeon Lee,201108,"CSU Northridge, Department of Systems and Operations Management (미국)",1986,,,,,,2004,,,pFeglNoAAAAJ,https://www.csun.edu/som/jun-yeon-lee,,
이준엽,June-Yub Lee,,이화여자대학교 수학과,1986,,,,,,1994,33479,361807,,http://math.ewha.ac.kr/~jylee/,Adaptive Numerical Methods for Singular Perturbation Problems in One Space Dimension,1
이준용,Junyong Lee,202403,국민대학교 국제통상학과,2013,,,,,,2023,,,FNVkFjIAAAAJ,,,
이창옥,Chang-Ock Lee,200609,KAIST 수리과학과,,1984,,,,,1995,11548,364533,mR0fSF8AAAAJ,http://amath.kaist.ac.kr/~colee/,"Multigrid Methods and Parallel Computations for Elliptic Problems, with and Emphasis of Linear Elasticity",
이창준,Changjun Lee,201203,한국외국어대학교 경영학부,1999,,,,,,,,,ThcnRjkAAAAJ,https://www.hufs.ac.kr/user/indexFrame.action?framePath=div3_1.jsp&siteId=hufs&leftPage=&rightPage=03_010901b.html&codyMenuSeq=37045,,
이한국,Hankook Lee,202403,성균관대학교 소프트웨어학과,2010,,,,,,,,,CgqswXUAAAAJ,https://hankook.github.io/,,
이한주,Han Ju Lee,,동국대학교 수학교육과,,1999,2004,최창선,,41877,2004,110011,738542,,https://dume.dongguk.edu/professor/list?professor_haggwa_type=PROFH_050,"Extension of polynomials, complex convexity and M-ideal properties of Banach function spaces",
이형숙,Hyung Sook Lee,,미국 Eastern Washington University 수학과,,1998,,,,,,,,-5rIvL8AAAAJ,https://www.ewu.edu/experts/hyung-sook-lee/,,
이형천,Hyung-Chun Lee,,아주대학교 수학과 [명예교수],,1984,,,,,1994,75530,353631,vPDOviQAAAAJ,https://math.ajou.ac.kr/math/member/member06.jsp?include=view&article_no=202210569&board_wrapper=%2Fmath%2Fmember%2Fmember06.jsp&pager.offset=0&board_no=849,"Analysis, Finite Element Approximation, and Computation of Optimal and Feedback Control Problems",
이호석,Ho-Seok Lee,201603,광운대학교 수학과,1998,2002,2009,최우진,,41917,2009,,831682,,https://klas.kw.ac.kr/ext/out/RsrchInfoUpdtViewSpvPage.do?memberNo=12016009,Risk models and their applications to credit derivatives and insurance,
이화정,Hwa Jeong Lee,201903,동국대학교 수학교육과,,2000,2010,진교택,,41947,2010,148838,988416,,https://sites.google.com/site/leehwajeong/,Prime knots whose arc index is smaller than the crossing number,
이효정,Iona Hyojung Lee,201407,"Singapore Management University, School of Economics  (싱가포르)",2000,,,,,,2014,,,,https://faculty.smu.edu.sg/profile/iona-hyojung-lee-1911,,
이훈희,Hun Hee Lee,201303,서울대학교 수리과학부,1993,1997,2004,최창선,,41874,2004,110012,734722,,http://www.math.snu.ac.kr/~hhlee/,Fourier type and cotype with respect to unimodular groups,
임경수,Kyung Soo Rim,,서강대학교 수학과,,1990,1996,최우진,,41786,1996,156595,610323,,https://sites.google.com/view/professor-rim-kyung-soo,M-harmonic conjugate functions,
임병화,Byung Hwa Lim,202202,성균관대학교 경영대학,2000,2004,2009,최우진,,41918,2009,,817688,QE5z9eMAAAAJ,https://koreansli.skku.edu/researcher/professorList.do?mode=view&perId=LZStrKIQwSg0sA2BiCSBlCAJAjgdgE4BMAW0ADgDKED0AggLxVA &categoryId=G&jojikCode1=3169&jojikCode2=7101CR,Portfolio selection and asset pricing under asymmetric information,
임선혁,Sunhyuk Lim,202312,성균관대 수학과,2008,,,,,,2021,272697,,3LFl1bkAAAAJ,https://sites.google.com/view/sunhyuklim/,,
임성근,Sung Geun Lim,,목원대학교 수학교육과,1987,,,,,,2003,257406,760172,,https://www.mokwon.ac.kr/mathedu/html/sub02/0201.html,Square Classes of Positive Units over Real Number Fields,
임성수,Sungsu Lim,201809,충남대학교 컴퓨터공학과,2004,2009,,,,,2016,,1121259,cMQT0a8AAAAJ,http://www.sungsulim.com/,,
임재근,Jae Kun Lim,,한경대학교 응용수학전공,,1991,1998,김홍오,,41803,1998,135844,619485,,https://www.hknu.ac.kr/hkcommath/2054/subview.do,Frames and frame multiresolution analyses,
장봉규,Bong-Gyu Jang,200805,POSTECH 산업경영공학과,,,2004,최우진,,41878,2004,155862,802584,JE8ILzYAAAAJ,https://bgjang.postech.ac.kr/,Optimal consumption and investment decisions in the presence of transaction costs,
장우승,,,University of Missouri-Columbia 산업 및 생산시스템공학과,1988,,,,,,,,,,,,1
장현진,Hyun Jin Jang,201402,UNIST 경영과학부,,2004,2010,최건호,,41929,2010,194126,931919,F12YqyoAAAAJ,https://sites.google.com/site/janghj/,Credit risk modeling and credit derivatives pricing with copula functions,
장희동,HeeDong Chang,,호서대학교 게임소프트웨어학과,,1985,,,,,1995,,,,http://www.hoseo.ac.kr/Home/Major.mbz?action=MAPP_2005191589,,
전기완,Kiwan Jeon,,NIMS 산업수학연구본부,,2002,2010,이창옥,,41928,,262327,885351,,,Harmonic B_z Algorithms in Magnetic Resonance Electrical Impedance Tomography (MREIT) and Related Studies,
전대열,Daeyeol Jeon,,공주대학교 수학교육과,,1992,2001,배성한,,41839,2001,125268,658790,,https://math.kongju.ac.kr/ZA0510/10107/subview.do,Minimal models for drinfeld modules of rank 2 with complex multiplication,
전병현,Byounghyun Jeon,201908,University of Marquette 금융학과 (미국),2008,,,,,,2019,,,lueb5vEAAAAJ,https://www.marquette.edu/business/directory/byounghyun-jeon.php,,
전성찬,Sung Chan Jun,200709,GIST AI대학원,1987,1991,1998,최우진,,41804,1998,156000,648921,XfUOo6QAAAAJ,https://biocomput.gist.ac.kr/biocomput/35041.do,Iterative methods in inverse scattering problem,
전수민,Soomin Jeon,202209,동아대학교 정보수학과,2006,2010,2017,이창옥,,241914,2017,277504,1358556,9AHiTx0AAAAJ,http://web.donga.ac.kr/soominjeon/,CT metal artifact reduction based on sinogram surgery,
