korname,engname,update,aff,bs,ms,phd,advisor,advisor2,handle,debut,mathgen,mrauthid,scholar,website,thesis,hide
최대식,Daeshik Choi,201808,Lake Superior State University 수학과 (미국),,2001,,,,,2013,208755,970754,,https://www.linkedin.com/in/daeshik-choi-154540a0/,Estimating Norms of Matrix Functions using Numerical Ranges,1
최두일,Doo Il Choi,,한라대학교 교양과정부,,1989,1996,최봉대,,41779,1996,,629131,,https://cms.halla.ac.kr/user/indexSub.action?codyMenuSeq=15256&siteId=education,Performance analysis of threshold-based queueing system and its application to ATM networks,
최두호,Doo Ho Choi,202103,고려대학교 인공지능사이버보안학과,,1994,2002,고기형,,41845,2002,78716,696826,N4FHafMAAAAJ,https://aisecu.korea.ac.kr/faculty/,On 1-bridge torus knots,
최범준,Beomjun Choi,202107,POSTECH 수학과,2007,,,,,,2019,269098,1269631,StHXLu8AAAAJ,https://sites.google.com/site/mathbeomjun/,Non-compact geometric flows: long time existence and type II singularities,
최석웅,Sukwoong Choi,202406,뉴욕주립대 올바니 경영대학 (미국),2006,,,,,,2019,,,uHkRlUoAAAAJ,https://sukwoongchoi.github.io,,
최소영,SoYoung Choi,201509,경상대학교 수학교육과,,1995,2004,구자경,,41873,2004,179413,754586,,https://www.gnu.ac.kr/mathedu/pi/prfsr/selectPrfsrIntrdView.do?mi=7845&ctgrySn=1351,Class fields related to the Thompson series and certain arithmetic curves,
최수영,Suyoung Choi,201103,아주대학교 수학과,2000,2003,2009,서동엽,,41914,2009,149272,857177,91jZsq4AAAAJ,http://acmi.ajou.ac.kr/~schoi/,Properties determined by cohomology ring in toric topology,
최우현,W. Jason Choi,202209,메릴랜드 대학교 Robert H. Smith School of Business (미국),2006,,,,,,2020,,,2RfCojkAAAAJ,https://sites.google.com/view/wjasonchoi?fbclid=IwAR2H6pQjExxR1C5H6ae7Tj2E-RC2U7Tf6iFzs3lu1cMZLtKOiQWxXoYU7I8,,
최재혁,Jaehyuk Choi,202501,"Coumbia University, Mathematics of Finance (MAFN) Program (미국)",1994,,,,,,2005,92709,788415,tJfJ_5gAAAAJ,https://jaehyukchoi.net/,Transport-Limited Aggregation and Dense Granular Flow,
최정옥,Jeong Ok Choi,201109,GIST 수리과학과,1993,,,,,,2008,130517,895217,,https://las.gist.ac.kr/prog/gsPerson/las/P/list.do?gubunName=Faculty&mno=sub02_01,,
최진혁,Jin Hyuk Choi,201608,UNIST 수리과학과,2001,,,,,,2012,177000,1046316,ESBKuqIAAAAJ,https://sites.google.com/site/gubukhyuk/,A shadow-price approach of the problem of optimal investment/consumption with proportional transaction costs and utilities of power type,
탁병주,Byungjoo Tak,202409,건국대학교 수학교육과,,2011,,,,,2017,,,NUnouLsAAAAJ,https://sites.google.com/view/bjtak/home,,
탁재영,Jae-Young Tak,201703,동의대학교 산업ICT기술공학전공,,1986,,,,,1988,,,,https://ind-ict.deu.ac.kr/ind-ict/sub02.do#teacCon1,,
한강진,Kangjin Han,201501,DGIST 기초학부,1998,2002,2010,곽시종,,41936,2010,161219,985869,bLg4ssQAAAAJ,https://hilbert.dgist.ac.kr/site/KJ.html,"A study on some infinitely generated graded modules, projections, and applications",
